Jessica	xnr
，	w
你	r
揾工	v
揾	v
成	u
點	r
啊	y1
？	w

哎吔	e
！	w
都	d
唔	d
知	v
點	r
啊	y
。	w
其實	d
我	r
都	d
見	v
咗	u
好多	m
份	q
嚹	y
，	w
但係	c
都	d
未	d
得	v
啊	y
。	w

喀	e
。	w

係	v
啊	y
。	w

噉	c
你	r
周圍	f
揾	v
，	w
你	r
揾	v
啲	q
乜嘢	r
啊	y1
，	w
通常	d
都	d
？	w

誒	e
，	w
我	r
估	v
-	w
我	r
諗	v
住	u
教書	v
囖	y
其實	d
。	w

啊	e
。	w

因為	c
最初	t
嗰陣時	r
呢	y1
我	r
都	d
見	v
咗	u
份	q
，	w
誒	e
，	w
誒	e
，	w
translator	xn
噉樣	r
嘅	u
。	w
噉	c
噉	c
最初	t
嗰陣時	r
都	d
話	v
請	v
咗	u
我	r
𡃉	y1
嚹	y1
，	w
但係	c
我	r
又	d
，	w
（	w
但係	c
我	r
又	d
）	w
一心	d
即係	c
諗	v
住	u
教書	v
吖	y1
嗎	y1
，	w
噉	c
所以	c
就	d
即係	c
推	v
咗	u
佢	r
噉樣	c
囖	y
。	w
同埋	c
我	r
又	d
覺得	v
佢	r
好似	v
好	d
辛苦	a
	y1
嗎	y1
，	w
因為	c
佢	r
之前	t
佢	r
譯	v
報紙	n
嗰啲	r
嘢	n
呢	y1
，	w
噉	c
譬如	v
話	v
十一點鐘	t
之前	t
呢	y1
就	d
譯	v
好多	m
嘢	n
，	w
因為	c
佢	r
要	vu
趕住	v
俾	v
個	q
客	n
噉樣	c
喇	y
，	w
噉	c
所以	c
呢	y1
我	r
就	d
覺得	v
好	d
辛苦	a
囖	y
。	w
噉	c
同埋	c
佢	r
話	v
要	vu
我	r
簽約	v
呢	y1
，	w
就	d
要	vu
簽	v
半	m
年	q
噉樣	c
喇	y
，	w
噉	c
中途	b
又	d
唔	d
准	vu
違約	v
喎	y
。	w
噉	c
變	v
咗	u
我	r
又	d
覺得	v
，	w
唉	e
！	w
好似	v
-	w
好似	v
好	d
-	w
好	d
壓迫感	n
大	a
噉樣	c
啊	y
，	w
噉	c
所以	c
-	w
但係	c
我	r
又	d
一心	d
諗	v
住	u
教書	v
吖	y1
嗎	y1
，	w

嗯	e
。	w

噉	c
所以	c
就	d
，	w
誒	e
，	w
如果	c
做	v
半	m
年	q
嘅	u
，	w
噉	c
我	r
又	d
費事	v
噉樣	c
囖	y1
，	w
所以	c
就	d
推	v
咗	u
佢	r
囖	y
。	w

即係	c
你	r
都	d
想	vu
多	a
啲	u
時候	n
揾	v
返	u
教書	v
嗰啲	r
，	w
因為	c
如果	c
你	r
一	m
做	v
咗	u
份	q
工	n
，	w
噉	c
你	r
可能	vu
又	d
interview	xv
嗰啲	r
又	d
麻煩	a
。	w

係	v
嘞	y1
，	w
又	d
-	w
又	d
出	v
唔	d
返	u
來	v
噉樣	c
囖	y1
好似	v
。	w

係	v
啊	y1
，	w
係	v
啊	y
，	w
係	v
啊	y
，	w
係	v
啊	y
。	w

係	v
嚹	y1
，	w
係	v
嚹	y
。	w
噉	c
跟住	c
又	d
