occlusives ; b ; b 
occlusives ; d ; d 
fricatives ; f ; f 
occlusives ; g ; ɡ 
occlusives ; k ; k 
liquids ; l ; l 
nasals ; m ; m 
nasals ; n ; n 
nasals ; J ; ɲ 
occlusives ; p ; p 
liquids ; r ; ʁ 
fricatives ; s ; s 
fricatives ; S ; ʃ 
occlusives ; t ; t 
fricatives ; v ; v 
fricatives ; z ; z 
fricatives ; Z ; ʒ 
glides ; j ; j 
glides ; w ; w 
glides ; h ; ɥ 
vowels ; a ; a 
vowels ; A ; ɑ 
vowels ; e ; e 
vowels ; E ; ɛ 
vowels ; 2 ; ə 
vowels ; i ; i 
vowels ; 9 ; œ 
vowels ; @ ; ø 
vowels ; o ; o 
vowels ; O ; ɔ 
vowels ; u ; u 
vowels ; y ; y 
vowels ; a~ ; ɑ̃ 
vowels ; e~ ; ɛ̃ 
vowels ; 9~ ; œ̃ 
vowels ; o~ ; ɔ̃ 
