PhonAlign;Class;Height;Backness;Roundness;Manner of articulation;Place of articulation;Phonation;Location;Position;Airstream
a;Vowel;open;front;unrounded;;;;oral;;
b;Consonant;;;;plosive;bilabial;voiced;oral;none;pulmonic
b_<;Consonant;;;;implosive;bilabial;voiced;oral;;non-pulmonic
c;Consonant;;;;plosive;palatal;voiceless;oral;central;pulmonic
d;Consonant;;;;plosive;alveolar;voiced;oral;front;pulmonic
d`;Consonant;;;;plosive;retroflex;voiced;oral;;pulmonic
e;Vowel;close-mid;front;unrounded;;;;oral;;
f;Consonant;;;;fricative;labiodental;voiceless;oral;none;pulmonic
g;Consonant;;;;plosive;velar;voiced;oral;back;pulmonic
g_<;Consonant;;;;implosive;velar;voiced;oral;;non-pulmonic
h;Consonant;;;;fricative;glottal;voiceless;oral;none;pulmonic
h\;Consonant;;;;fricative;glottal;voiced;oral;;pulmonic
i;Vowel;close;front;unrounded;;;;oral;;
j;Consonant;;;;approximant;palatal;voiced;oral;central;pulmonic
j\;Consonant;;;;fricative;palatal;voiced;oral;central;pulmonic
k;Consonant;;;;plosive;velar;voiceless;oral;central;pulmonic
l;Consonant;;;;lateral approximant;alveolar;voiced;oral;lateral;pulmonic
l`;Consonant;;;;lateral approximant;retroflex;voiced;oral;;pulmonic
l\;Consonant;;;;flap;alveolar;voiced;oral;;
m;Consonant;;;;nasal;bilabial;voiced;nasal;none;pulmonic
n;Consonant;;;;nasal;alveolar;voiced;nasal;none;pulmonic
n`;Consonant;;;;nasal;retroflex;voiced;nasal;;pulmonic
o;Vowel;close-mid;back;rounded;;;;oral;;
p;Consonant;;;;plosive;bilabial;voiceless;oral;none;pulmonic
p\;Consonant;;;;fricative;bilabial;voiceless;oral;;pulmonic
q;Consonant;;;;plosive;uvular;voiceless;oral;central;pulmonic
r;Consonant;;;;trill;alveolar;voiced;oral;central;pulmonic
r`;Consonant;;;;flap;retroflex;voiced;oral;;pulmonic
r\;Consonant;;;;approximant;alveolar;voiced;oral;;pulmonic
r\`;Consonant;;;;approximant;retroflex;voiced;oral;;pulmonic
s;Consonant;;;;fricative;alveolar;voiceless;oral;central;pulmonic
s`;Consonant;;;;fricative;retroflex;voiceless;oral;;pulmonic
s\;Consonant;;;;fricative;alveolo-palatal;voiceless;oral;;pulmonic
t;Consonant;;;;plosive;alveolar;voiceless;oral;central;pulmonic
t`;Consonant;;;;plosive;retroflex;voiceless;oral;;pulmonic
u;Vowel;close;back;rounded;;;;oral;;
v;Consonant;;;;fricative;labiodental;voiced;oral;none;pulmonic
v\ (or P);Consonant;;;;approximant;labiodental;voiced;oral;;pulmonic
w;Consonant;;;;approximant;labialized velar;voiced;oral;central;pulmonic
x;Consonant;;;;fricative;velar;voiceless;oral;central;pulmonic
x\;Consonant;;;;fricative;palatal-velar;voiceless;oral;;pulmonic
y;Vowel;close;front;rounded;;;;oral;;
z;Consonant;;;;fricative;alveolar;voiced;oral;central;pulmonic
z`;Consonant;;;;fricative;retroflex;voiced;oral;;pulmonic
