㐁	tim2
㐅	ng5
㐆	zaan2
㐌	zyu4
㐖	zip6
㐜	caau4
㐡	no6
㐤	kaau4
㐨	zeoi6
㐩	zing4
㐫	gun3
㐬	lau4
㐭	lam5
㐮	soeng1
㐯	jung4
㐰	seon3
㐱	caa5
㐲	daai6
㐳	ngaat6
㐴	paan1
㐵	jyu4
㐷	maa6
㐸	gim1
㐹	go1
㐺	zung3
㐻	fu1
㐼	cing2
㐽	fung1
㑀	taai3
㑁	zyut3
㑂	fong2
㑃	au2
㑄	mou5
㑅	zok3
㑇	zaau3
㑈	dung1
㑉	cuk1
㑊	zik6
㑋	kung4
㑌	hong1
㑍	leoi5
㑎	nou5
㑏	cyu5
㑐	suk1
㑔	seoi2
㑗	saan1
㑘	gaai3
㑙	dip6
㑚	naa4
㑛	cuk1
㑜	zaai6
㑝	lung6
㑞	zing6
㑟	mang1
㑣	lam2
㑤	miu4
㑥	zi6
㑦	leoi6
㑧	gwai3
㑨	zyu5
㑩	lo4
㑪	caai4
㑮	gwaat1
㑯	seoi1
㑰	fui4
㑱	nau4
㑳	zaau3
㑴	caam1
㑵	zat6
㑶	haai4
㑷	taai3
㑸	ziu4
㑹	gwat3
㑺	zeoi6
㑻	maa6
㑼	loek6
㑽	tong4
㑾	ziu4
㑿	coek3
㒀	cim4
㒁	sou3
㒂	zoek6
㒃	zi6
㒄	ngam4
㒅	kai2
㒆	kap1
㒇	ng5
㒈	hon6
㒉	tong2
㒊	saap1
㒋	si1
㒌	king4
㒍	leoi5
㒎	sat3
㒑	hung2
㒒	buk6
㒓	taat3
㒔	suk6
㒕	zoeng1
㒖	ngaau5
㒗	toi4
㒙	min4
㒚	waan2
㒛	deoi2
㒜	zyu5
㒝	mit6
㒞	zeon3
㒟	niu5
㒠	haai6
㒡	zaau4
㒤	sip3
㒥	fung1
㒦	deoi3
㒧	lai6
㒨	sin1
㒩	lo2
㒪	sek3
㒫	gei3
㒭	kwaan1
㒯	jip6
㒰	cyun4
㒲	coi4
㒳	loeng5
㒴	gwat1
㒵	mau6
㒶	gung1
㒷	hing2
㒸	seoi6
㒹	din1
㒻	mou6
㒼	mang4
㒽	hyun1
㒾	si6
㒿	lei4
㓁	mong5
㓂	kaau3
㓃	dou3
㓄	saam2
㓅	ding1
㓈	bing1
㓉	gwaat3
㓊	dung6
㓋	gung6
㓌	cang1
㓎	caam1
㓏	gwing2
㓐	luk6
㓑	haang6
㓓	lam5
㓔	ze6
㓖	bit1
㓗	git3
㓘	suk1
㓙	hung1
㓚	geoi6
㓛	gung1
㓜	zaau3
㓝	zing4
㓞	kaai3
㓟	ngo4
㓠	dim3
㓡	fu2
㓢	lok3
㓣	got3
㓤	gat1
㓥	tong1
㓦	bak3
㓧	deoi1
㓨	ci3
㓩	fan3
㓪	long5
㓬	fu1
㓭	hot3
㓮	diu1
㓯	lei4
㓰	waak6
㓱	syu1
㓲	pin3
㓳	dai1
㓴	zyun5
㓵	ngok6
㓶	kit3
㓷	nau4
㓸	coek3
㓹	zeoi6
㓺	gin1
㓻	gong1
㓽	sung4
㓾	sai1
㔀	king4
㔁	daang1
㔂	leon4
㔃	zyut6
㔄	suk1
㔅	siu3
㔆	caam5
㔇	put3
㔉	cung2
㔊	tan2
㔋	ham3
㔌	sei3
㔍	cap3
㔎	sit3
㔏	gak3
㔐	cim1
㔒	kwai4
㔓	gin2
㔕	gaat1
㔗	bei6
㔘	zeot1
㔙	ping1
㔚	aau2
㔜	but6
㔝	loeng5
㔞	fai3
㔠	hat6
㔡	bit3
㔢	waai4
㔣	leoi4
㔤	saam2
㔥	baai6
㔦	zoeng5
㔧	leoi6
㔨	bui3
㔩	aap6
㔪	lou5
㔬	coek3
㔭	ci4
㔯	syun3
㔰	hang4
㔱	zyu5
㔳	gei2
㔴	zik6
㔵	syun2
㔶	gaam2
㔷	lau6
㔸	cam2
㔹	lak6
㔺	saai3
㔻	pei1
㔼	seon2
㔽	zaau5
㔾	zit3
㔿	zau3
㕁	koek3
㕂	zaam4
㕃	him3
㕄	zi3
㕅	gaap3
㕆	wu6
㕇	lap3
㕈	at3
