整 zing2
完 jun4
香 hoeng1
腸 coeng4
同 tung4
埋 maai4
蛋 daan6
之 zi1
後 hau6
呢 ni1
我 ngo5
就 zau6
叫 giu3
馮 fung4
曉 hiu2
立 lap6
起 hei2
身 san1
咁 gam3
佢 keoi5
起 hei2
咗 zo2
身 san1
我 ngo5
哋 dei6
一 jat1
齊 cai4
食 sik6
早 zou2
餐 caan1
呢 ni1
我 ngo5
先 sin1
至 zi3
開 hoi1
始 ci2
拾 sap6
嗰 go2
隻 zek3
糭 zung3
喺 hai2
食 sik6
緊 gan2
嘢 je5
嘅 ge3
時 si4
候 hau6
我 ngo5
哋 dei6
都 dou1
有 jau5
一 jat1
路 lou6
喺 hai2
度 dou6
諗 nam2
馮 fung4
曉 hiu2
立 lap6
到 dou3
底 dai2
行 hang4
唔 m4
行 hang4
到 dou3
返 faan1
去 heoi3
梅 mui4
窩 wo1
定 ding6
係 hai6
佢 keoi5
要 jiu3
搭 daap3
巴 baa1
士 si6
呢 ni1
咁 gam3
最 zeoi3
後 hau6
我 ngo5
哋 dei6
都 dou1
決 kyut3
定 ding6
係 hai6
一 jat1
齊 cai4
行 hang4
返 faan1
返 faan1
去 heoi3
梅 mui4
窩 wo1
嘅 ge3
咁 gam3
飲 jam2
飽 baau2
食 sik6
醉 zeoi3
之 zi1
後 hau6
都 dou1
差 caa1
唔 m4
多 do1
要 jiu3
再 zoi3
行 hang4
返 faan1
返 faan1
去 heoi3
梅 mui4
窩 wo1
因 jan1
為 wai4
其 kei4
實 sat6
我 ngo5
之 zi1
前 cin4
買 maai5
咗 zo2
隻 zek3
橡 zoeng6
皮 pei4
艇 teng5
呢 ni1
我 ngo5
都 dou1
要 jiu3
喺 hai2
間 gaan1
鋪 pou3
頭 tau4
閂 saan1
門 mun4
之 zi1
前 cin4
返 faan1
去 heoi3
再 zoi3
攞 lo2
返 faan1
嗰 go2
一 jat1
件 gin6
貨 fo3
品 ban2
整 zing2
完 jun4
香 hoeng1
腸 coeng4
之 zi1
後 hau6
呢 ni1
我 ngo5
就 zau6
煎 zin1
蛋 daan6
咁 gam3
我 ngo5
想 soeng2
整 zing2
嗰 go2
啲 di1
滑 waat6
蛋 daan6
呢 ni1
個 go3
我 ngo5
自 zi6
己 gei2
個 go3
秘 bei3
訣 kyut3
就 zau6
係 hai6
要 jiu3
加 gaa1
左 zo2
啲 di1
水 seoi2
先 sin1
嘅 ge3
咁 gam3
就 zau6
可 ho2
以 ji5
令 ling6
到 dou3
嗰 go2
啲 di1
蛋 daan6
滑 waat6
少 siu2
少 siu2
嗰 go2
一 jat1
隻 zek3
糭 zung3
呢 ni1
係 hai6
豆 dau6
沙 saa1
糭 zung3
嚟 lai4
嘅 ge3
係 hai6
馮 fung4
曉 hiu2
立 lap6
前 cin4
一 jat1
日 jat6
喺 hai2
超 ciu1
級 kap1
市 si5
場 coeng4
嗰 go2
度 dou6
買 maai5
嘅 ge3
係 hai6
一 jat1
隻 zek3
奇 kei4
華 waa4
嘅 ge3
糭 zung3
啦 laa1
咁 gam3
佢 keoi5
就 zau6
話 waa6
拾 sap6
三 saam1
十 sap6
分 fan1
鐘 zung1
食 sik6
得 dak1
不 bat1
過 gwo3
最 zeoi3
後 hau6
我 ngo5
哋 dei6
廿 jaa6
分 fan1
鐘 zung1
其 kei4
實 sat6
都 dou1
好 hou2
喇 laa3
食 sik6
完 jun4
早 zou2
餐 caan1
之 zi1
後 hau6
我 ngo5
哋 dei6
就 zau6
換 wun6
衫 saam1
預 ju6
備 bei6
揸 zaa1
車 ce1
出 ceot1
去 heoi3
我 ngo5
哋 dei6
今 gam1
日 jat6
呢 ni1
就 zau6
諗 nam2
住 zyu6
揸 zaa1
車 ce1
去 heoi3
梅 mui4
窩 wo1
然 jin4
之 zi1
後 hau6
由 jau4
梅 mui4
窩 wo1
行 hang4
山 saan1
去 heoi3
愉 ju4
景 ging2
灣 waan1
咁 gam3
其 kei4
實 sat6
我 ngo5
就 zau6
唔 m4
係 hai6
一 jat1
個 go3
煮 zyu2
野 je5
好 hou2
叻 lek1
嘅 ge3
人 jan4
嚟 lai4
嘅 ge3
咁 gam3
所 so2
以 ji5
呢 ni1
我 ngo5
喺 hai2
煎 zin1
香 hoeng1
腸 coeng4
之 zi1
前 cin4
呢 ni1
就 zau6
一 jat1
定 ding6
要 jiu3
拾 sap6
熟 suk6
咗 zo2
條 tiu4
腸 coeng4
先 sin1
咁 gam3
所 so2
以 ji5
我 ngo5
就 zau6
拾 sap6
左 zo2
條 tiu4
腸 coeng4
先 sin1
跟 gan1
住 zyu6
先 sin1
至 zi3
煎 zin1
佢 keoi5
喇 laa3
照 ziu3
顧 gu3
好 hou2
啲 di1
狗 gau2
之 zi1
後 hau6
呢 ni1
我 ngo5
就 zau6
返 faan1
屋 uk1
企 kei5
整 zing2
自 zi6
己 gei2
個 go3
早 zou2
餐 caan1
咁 gam3
我 ngo5
就 zau6
諗 nam2
住 zyu6
整 zing2
香 hoeng1
腸 coeng4
同 tung4
埋 maai4
煎 zin1
蛋 daan6
同 tung4
埋 maai4
一 jat1
隻 zek3
糭 zung3
做 zou6
早 zou2
餐 caan1
嘅 ge3
咁 gam3
最 zeoi3
後 hau6
我 ngo5
就 zau6
揀 gaan2
咗 zo2
個 go3
咸 haam4
牛 ngau4
肉 juk6
雞 gai1
蛋 daan6
三 saam1
文 man4
治 zi6
咁 gam3
佢 keoi5
係 hai6
有 jau5
搽 caa4
花 faa1
生 sang1
醬 zoeng3
嘅 ge3
咁 gam3
我 ngo5
都 dou1
覺 gok3
得 dak1
係 hai6
好 hou2
特 dak6
別 bit6
咁 gam3
另 ling6
外 ngoi6
呢 ni1
我 ngo5
就 zau6
揀 gaan2
左 zo2
杯 bui1
凍 dung3
奶 naai5
茶 caa4
飲 jam2
咁 gam3
馮 fung4
曉 hiu2
立 lap6
呢 ni1
就 zau6
揀 gaan2
咗 zo2
個 go3
蕃 faan4
茄 ke2
濃 nung4
湯 tong1
公 gung1
仔 zai2
麵 min6
就 zau6
飲 jam2
凍 dung3
咖 gaa3
啡 fe1
唔 m4
記 gei3
得 dak1
咗 zo2
添 tim1
咁 gam3
佢 keoi5
嗰 go2
個 go3
聽 teng1
落 lok6
都 dou1
好 hou2
正 zing3
咁 gam3
馮 fung4
曉 hiu2
立 lap6
呢 ni1
就 zau6
揀 gaan2
咗 zo2
個 go3
蕃 faan4
茄 ke2
濃 nung4
湯 tong1
公 gung1
仔 zai2
麵 min6
就 zau6
飲 jam2
凍 dung3
咖 gaa3
啡 fe1
唔 m4
記 gei3
得 dak1
咗 zo2
添 tim1
咁 gam3
佢 keoi5
嗰 go2
個 go3
聽 teng1
落 lok6
都 dou1
好 hou2
正 zing3
今 gam1
日 jat6
係 hai6
端 dyun1
午 ng5
節 zit3
係 hai6
一 jat1
個 go3
公 gung1
眾 zung3
假 gaa3
期 kei4
嚟 lai4
嘅 ge3
咁 gam3
呢 ni1
我 ngo5
大 daai6
概 koi3
七 cat1
點 dim2
就 zau6
起 hei2
身 san1
跟 gan1
住 zyu6
起 hei2
身 san1
之 zi1
後 hau6
呢 ni1
就 zau6
帶 daai3
咗 zo2
啲 di1
狗 gau2
出 ceot1
去 heoi3
散 saan3
步 bou6
同 tung4
埋 maai4
食 sik6
早 zou2
餐 caan1
咁 gam3
去 heoi3
到 dou3
就 zau6
好 hou2
開 hoi1
心 sam1
啦 laa1
坐 zo6
低 dai1
因 jan1
為 wai4
個 go3
呢 ni1
有 jau5
好 hou2
多 do1
野 je5
呢 ni1
都 dou1
好 hou2
想 soeng2
食 sik6
咁 gam3
我 ngo5
就 zau6
揀 gaan2
嚟 lai4
揀 gaan2
去 heoi3
都 dou1
唔 m4
知 zi1
自 zi6
己 gei2
食 sik6
啲 di1
乜 mat1
嘢 je5
就 zau6
甚 sam6
至 zi3
就 zau6
想 soeng2
食 sik6
多 do1
個 go3
一 jat1
個 go3
餐 caan1
嗰 go2
日 jat6
我 ngo5
反 faan2
而 ji4
同 tung4
我 ngo5
爸 baa1
爸 baa1
去 heoi3
咗 zo2
食 sik6
父 fu6
親 can1
節 zit3
飯 faan6
我 ngo5
哋 dei6
見 gin3
到 dou3
面 min6
之 zi1
後 hau6
買 maai5
埋 maai4
麥 mak6
當 dong1
勞 lou4
早 zou2
餐 caan1
就 zau6
開 hoi1
車 ce1
去 heoi3
野 je5
餐 caan1
我 ngo5
分 fan1
咗 zo2
一 jat1
個 go3
狗 gau2
仔 zai2
蛋 daan6
糕 gou1
比 bei2
隔 gaak3
離 lei4
屋 uk1
我 ngo5
仲 zung6
同 tung4
隔 gaak3
離 lei4
屋 uk1
嘅 ge3
鄰 leon4
居 geoi1
傾 king1
左 zo2
一 jat1
陣 zan6
計 gai3
我 ngo5
哋 dei6
整 zing2
在 zoi6
意 ji3
粉 fan2
炒 caau2
雜 zaap6
菇 gu1
同 tung4
埋 maai4
煎 zin1
帶 daai3
子 zi2
咁 gam3
都 dou1
真 zan1
係 hai6
天 tin1
公 gung1
做 zou6
美 mei5
啦 laa1
因 jan1
為 wai4
呢 ni1
天 tin1
氣 hei3
真 zan1
係 hai6
好 hou2
好 hou2
好 hou2
涼 loeng4
爽 song2
我 ngo5
哋 dei6
去 heoi3
咗 zo2
鯉 lei5
魚 ju4
門 mun4
食 sik6
海 hoi2
鮮 sin1
食 sik6
得 dak1
好 hou2
開 hoi1
心 sam1
我 ngo5
約 joek3
咗 zo2
我 ngo5
個 go3
朋 pang4
友 jau5
九 gau2
點 dim2
鐘 zung1
就 zau6
係 hai6
金 gam1
鐘 zung1
地 dei6
鐵 tit3
站 zaam6
嗰 go2
度 dou6
等 dang2
喇 laa3
月 jyut6
號 hou6
係 hai6
我 ngo5
隻 zek3
狗 gau2
嘅 ge3
生 sang1
日 jat6
不 bat1
過 gwo3
我 ngo5
哋 dei6
冇 mou5
乜 mat1
做 zou6
乜 mat1
咁 gam3
第 dai6
二 ji6
日 jat6
我 ngo5
都 dou1
好 hou2
早 zou2
起 hei2
身 san1
因 jan1
為 wai4
要 jiu3
野 je5
餐 caan1
開 hoi1
生 sang1
日 jat6
會 wui6
